video,target,score,margin
beat_42_p02.mp4,beat_64_p01,0.2413,0.0009
beat_42_p03.mp4,beat_35_p01,0.2206,0.0
beat_42_p04.mp4,beat_59_p01,0.2082,0.0012
beat_42_p05.mp4,beat_28_p04,0.2079,-0.0013
beat_43_p01.mp4,beat_13_p02,0.2404,-0.0001
beat_43_p02.mp4,beat_40_p03,0.1914,-0.0002
beat_44_p01.mp4,beat_63_p01,0.2323,-0.0026
beat_44_p02.mp4,beat_28_p01,0.237,-0.0049
beat_44_p03.mp4,beat_52_p02,0.2208,-0.001
beat_45_p01.mp4,beat_51_p01,0.2065,-0.0013
beat_46_p01.mp4,beat_65_p03,0.2109,0.0
beat_46_p02.mp4,beat_33_p01,0.2219,-0.0001
beat_46_p03.mp4,beat_44_p01,0.213,-0.0024
beat_47_p01.mp4,beat_06_p02,0.2289,-0.0045
beat_48_p01.mp4,beat_29_p02,0.2295,-0.0039
beat_48_p02.mp4,beat_17_p04,0.2129,-0.0036
beat_48_p03.mp4,beat_65_p01,0.2286,-0.0003
beat_49_p01.mp4,beat_14_p01,0.2143,-0.004
beat_49_p02.mp4,beat_31_p01,0.2146,-0.0008
beat_49_p03.mp4,beat_59_p02,0.2123,-0.0001
beat_50_p01.mp4,beat_31_p04,0.2118,-0.0011
beat_50_p02.mp4,beat_18_p02,0.2135,-0.0049
beat_50_p03.mp4,beat_17_p03,0.2186,-0.0033
beat_51_p01.mp4,beat_30_p02,0.1993,-0.002
beat_52_p01.mp4,beat_64_p02,0.2253,-0.0028
beat_52_p02.mp4,beat_03_p02,0.2202,-0.0045
beat_53_p01.mp4,beat_39_p01,0.218,0.0004
beat_53_p02.mp4,beat_22_p03,0.2057,-0.007
beat_53_p03.mp4,beat_52_p01,0.2282,-0.0018
beat_53_p04.mp4,beat_30_p03,0.19,-0.001
beat_54_p01.mp4,beat_17_p01,0.1955,-0.0033
beat_55_p01.mp4,beat_36_p03,0.2129,0.0001
beat_56_p01.mp4,beat_36_p01,0.218,-0.0002
beat_56_p02.mp4,beat_05_p02,0.1992,-0.0056
beat_57_p01.mp4,beat_36_p02,0.2164,-0.0013
beat_57_p02.mp4,beat_25_p02,0.2217,-0.0032
beat_57_p03.mp4,beat_41_p05,0.2069,0.0015
beat_58_p01.mp4,beat_20_p03,0.2364,0.0005
beat_58_p02.mp4,beat_19_p01,0.2076,-0.0007
beat_58_p03.mp4,beat_27_p02,0.2124,-0.0051
beat_58_p04.mp4,beat_46_p01,0.203,0.0
beat_59_p01.mp4,beat_37_p01,0.21,0.0
beat_59_p02.mp4,beat_30_p01,0.2094,-0.002
beat_60_p01.mp4,beat_43_p01,0.2088,0.0006
beat_61_p01.mp4,beat_02_p02,0.2335,-0.0027
beat_61_p02.mp4,beat_04_p01,0.228,-0.0073
beat_62_p01.mp4,beat_65_p02,0.2111,-0.0018
beat_62_p02.mp4,beat_50_p02,0.1985,-0.001
beat_63_p01.mp4,beat_47_p01,0.2416,-0.0033
beat_63_p02.mp4,beat_13_p01,0.2234,0.0002
beat_64_p01.mp4,beat_56_p02,0.2056,-0.0017
beat_64_p02.mp4,beat_42_p03,0.2271,-0.0014
beat_65_p01.mp4,beat_58_p02,0.1989,-0.0024
beat_65_p02.mp4,beat_20_p04,0.2087,-0.005
beat_65_p03.mp4,beat_57_p02,0.2258,-0.0008
beat_66_p01.mp4,beat_49_p01,0.2215,-0.0015
beat_66_p02.mp4,beat_07_p01,0.2034,-0.0051
beat_67_p01.mp4,beat_06_p01,0.2141,-0.0107
8f5f6422-ced6-4c09-b536-cac53f9dbad5.mp4,beat_60_p01,0.2055,0.0032
e65816e8-2211-4115-98f4-fca019cb342b.mp4,beat_10_p02,0.1899,-0.0024
fe76bee8-b0d5-4b54-a7a2-ed10fe998ec0.mp4,beat_53_p02,0.2163,-0.0001
